Fx;Fy;Fz;Mx;My;Mz;Type
-7162;-934;25704;-12826;-92246;-14260;SLS
-9387;-934;21431;-12826;-15041;-14260;SLS
-7433;-934;25721;-12826;-82594;-14260;SLS
-8955;-934;21403;-12826;-30484;-14260;SLS
-7865;-934;25750;-12826;-67151;-14260;SLS
-7973;-886;30517;-15905;-91511;-14260;SLS
-7973;-865;28380;-7627;-81685;-14260;SLS
-7973;-1002;28320;-20412;-81566;-14260;SLS
-7603;-958;26354;-12784;-61669;-14260;SLS
-7973;-1002;30516;-18140;-91511;-14260;SLS
-7261;-958;22786;-10168;-50821;-14260;SLS
-7261;-894;23106;-17491;-60496;-14260;SLS
-8477;-958;21770;-12784;-32723;-14260;SLS
-7261;-1002;25932;-18140;-73437;-14260;SLS
