Nr;Type;Angle;x;y;z;N;L;redu
1;1;270;11.05;-5.05;0;4;30;1
2;1;180;11.05;-1.7;0;4;30;1
3;1;180;11.05;1.7;0;4;30;1
4;1;0;11.05;5.05;0;4;30;1
5;1;180;9.05;-5.05;0;4;30;1
6;1;180;7.05;-1.7;0;4;30;1
7;1;180;7.05;1.7;0;4;30;1
8;1;0;9.05;5.05;0;4;30;1
9;1;180;-3.9;-3.35;0;4;30;1
10;1;180;-3.9;0;0;4;30;1
11;1;180;-3.9;3.35;0;4;30;1
12;1;180;-3.9;-5.05;0;4;30;1
13;1;180;-3.9;-1.7;0;4;30;1
14;1;180;-3.9;1.7;0;4;30;1
15;1;180;-3.9;5.05;0;4;30;1
16;1;180;0;-5.05;0;4;30;1
17;1;180;2;-5.05;0;4;30;1
18;1;0;0;5.05;0;4;30;1
19;1;0;2;5.05;0;4;30;1
20;1;270;4.5;-5.05;0;4;30;1
21;1;0;4.5;5.05;0;4;30;1
22;1;180;-1.9;-5.05;0;4;30;1
23;1;90;-1.9;5.05;0;4;30;1
24;1;180;11.05;-3.35;0;4;30;1
25;1;180;11.05;3.35;0;4;30;1
26;1;180;0;-1;0;4;30;1
27;1;180;0;1;0;4;30;1
28;1;180;7.05;-5.05;0;4;30;1
29;1;0;7.05;5.05;0;4;30;1
30;1;180;7.05;-3.35;0;4;30;1
31;1;180;7.05;3.35;0;4;30;1
32;1;180;0;-3.35;0;4;30;1
33;1;180;0;3.35;0;4;30;1
34;1;180;11.05;0;0;4;30;1
35;1;180;7.05;0;0;4;30;1
