Pale;Alpha;x;y;z;Lutning;L;Insp;Emodul;Gmodul;Area;Ix;kv;bx;by;kd;Le;LastId;N;Mx;My;Mmax;ZMmax;Teta;T;Vx;Vy;Vmax;ZVmax;dx;dy;dz;rx;ry;rz;krddz;δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;1;666,50;0,00;0,00;35,47;0,00;0,00;0,00;14,51;-52,78;54,74;0,00;3,11;-11,30;5,54;0,00;0,00;0,00;0,50;3,11;2,35;1,67;1,09;0,64;0,30;0,06;-0,09;-0,17;-0,20;-0,21;-0,19;-0,16;-0,13;-0,09;-0,06;-0,04;-0,02;-0,01;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;-11,30;-8,56;-6,07;-3,97;-2,32;-1,08;-0,23;0,31;0,62;0,74;0,75;0,68;0,57;0,45;0,34;0,24;0,15;0,08;0,04;0,00;-0,02;-0,03;-0,03;-0,03;-0,03;-0,02;-0,02;-0,01;-0,01;-0,01;0,00;0,00;-20,41;-30,92;-34,39;-33,23;-29,36;-24,20;-18,74;-13,63;-9,21;-5,64;-2,92;-0,98;0,29;1,04;1,40;1,49;1,40;1,21;0,98;0,75;0,53;0,35;0,21;0,10;0,02;-0,02;-0,05;-0,06;-0,06;-0,06;0,00;-5,61;-8,50;-9,45;-9,14;-8,07;-6,65;-5,15;-3,75;-2,53;-1,55;-0,80;-0,27;0,08;0,29;0,39;0,41;0,38;0,33;0,27;0,21;0,15;0,10;0,06;0,03;0,01;-0,01;-0,01;-0,02;-0,02;-0,02;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;2;899,71;0,00;0,00;18,86;0,00;0,00;0,00;-5,76;-28,53;29,11;0,00;-1,23;-6,11;7,48;0,00;0,00;0,00;0,50;-1,23;-0,93;-0,66;-0,43;-0,25;-0,12;-0,02;0,03;0,07;0,08;0,08;0,07;0,06;0,05;0,04;0,03;0,02;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-6,11;-4,63;-3,28;-2,15;-1,25;-0,59;-0,12;0,17;0,33;0,40;0,40;0,37;0,31;0,25;0,18;0,13;0,08;0,05;0,02;0,00;-0,01;-0,02;-0,02;-0,02;-0,02;-0,01;-0,01;-0,01;0,00;0,00;0,00;0,00;-11,03;-16,71;-18,59;-17,96;-15,87;-13,08;-10,13;-7,37;-4,98;-3,05;-1,58;-0,53;0,16;0,56;0,76;0,80;0,76;0,65;0,53;0,40;0,29;0,19;0,11;0,05;0,01;-0,01;-0,03;-0,03;-0,03;-0,03;0,00;2,23;3,37;3,75;3,62;3,20;2,64;2,04;1,49;1,00;0,61;0,32;0,11;-0,03;-0,11;-0,15;-0,16;-0,15;-0,13;-0,11;-0,08;-0,06;-0,04;-0,02;-0,01;0,00;0,00;0,01;0,01;0,01;0,01;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;3;709,22;0,00;0,00;30,57;0,00;0,00;0,00;8,59;-46,39;47,18;0,00;1,84;-9,93;5,89;0,00;0,00;0,00;0,50;1,84;1,39;0,99;0,65;0,38;0,18;0,04;-0,05;-0,10;-0,12;-0,12;-0,11;-0,09;-0,07;-0,06;-0,04;-0,02;-0,01;-0,01;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-9,93;-7,52;-5,34;-3,49;-2,04;-0,95;-0,20;0,28;0,54;0,65;0,66;0,60;0,50;0,40;0,30;0,21;0,13;0,07;0,03;0,00;-0,02;-0,03;-0,03;-0,03;-0,02;-0,02;-0,02;-0,01;-0,01;0,00;0,00;0,00;-17,94;-27,18;-30,22;-29,21;-25,80;-21,27;-16,47;-11,98;-8,10;-4,95;-2,56;-0,86;0,26;0,92;1,23;1,31;1,23;1,06;0,86;0,66;0,47;0,31;0,18;0,09;0,02;-0,02;-0,04;-0,06;-0,06;-0,05;0,00;-3,32;-5,03;-5,60;-5,41;-4,78;-3,94;-3,05;-2,22;-1,50;-0,92;-0,47;-0,16;0,05;0,17;0,23;0,24;0,23;0,20;0,16;0,12;0,09;0,06;0,03;0,02;0,00;0,00;-0,01;-0,01;-0,01;-0,01;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;4;738,26;0,00;0,00;56,20;0,00;0,00;0,00;30,55;-81,16;86,72;0,00;6,54;-17,37;6,14;0,00;0,00;0,00;0,50;6,54;4,95;3,51;2,30;1,34;0,63;0,13;-0,18;-0,36;-0,43;-0,43;-0,39;-0,33;-0,26;-0,20;-0,14;-0,09;-0,05;-0,02;0,00;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;-17,37;-13,16;-9,33;-6,11;-3,56;-1,67;-0,35;0,48;0,95;1,14;1,15;1,05;0,88;0,70;0,52;0,36;0,23;0,13;0,05;0,00;-0,03;-0,04;-0,05;-0,05;-0,04;-0,04;-0,03;-0,02;-0,01;-0,01;0,00;0,00;-31,38;-47,54;-52,88;-51,10;-45,14;-37,21;-28,82;-20,96;-14,16;-8,67;-4,49;-1,51;0,45;1,61;2,16;2,29;2,15;1,86;1,51;1,15;0,82;0,54;0,32;0,15;0,04;-0,04;-0,08;-0,10;-0,10;-0,09;0,00;-11,81;-17,90;-19,91;-19,23;-16,99;-14,01;-10,85;-7,89;-5,33;-3,26;-1,69;-0,57;0,17;0,60;0,81;0,86;0,81;0,70;0,57;0,43;0,31;0,20;0,12;0,06;0,01;-0,01;-0,03;-0,04;-0,04;-0,03;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;5;420,29;0,00;0,00;79,00;0,00;0,00;0,00;47,65;-112,22;121,92;0,00;10,20;-24,02;3,49;0,00;0,00;0,00;0,50;10,20;7,72;5,48;3,59;2,09;0,98;0,21;-0,28;-0,56;-0,67;-0,68;-0,61;-0,52;-0,41;-0,31;-0,21;-0,14;-0,08;-0,03;0,00;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,01;0,01;0,01;0,00;-24,02;-18,19;-12,91;-8,45;-4,93;-2,31;-0,49;0,67;1,31;1,58;1,59;1,45;1,22;0,97;0,72;0,50;0,32;0,18;0,07;0,00;-0,04;-0,06;-0,07;-0,07;-0,06;-0,05;-0,04;-0,03;-0,02;-0,01;-0,01;0,00;-43,39;-65,74;-73,12;-70,65;-62,42;-51,45;-39,85;-28,98;-19,58;-11,98;-6,20;-2,09;0,63;2,22;2,98;3,16;2,97;2,57;2,08;1,59;1,13;0,75;0,44;0,21;0,05;-0,05;-0,11;-0,13;-0,14;-0,12;0,00;-18,42;-27,91;-31,04;-30,00;-26,50;-21,84;-16,92;-12,30;-8,32;-5,09;-2,63;-0,89;0,27;0,94;1,27;1,34;1,26;1,09;0,89;0,67;0,48;0,32;0,19;0,09;0,02;-0,02;-0,05;-0,06;-0,06;-0,05;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;6;937,73;0,00;0,00;17,31;0,00;0,00;0,00;-4,96;-26,25;26,71;0,00;-1,06;-5,62;7,79;0,00;0,00;0,00;0,50;-1,06;-0,80;-0,57;-0,37;-0,22;-0,10;-0,02;0,03;0,06;0,07;0,07;0,06;0,05;0,04;0,03;0,02;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-5,62;-4,26;-3,02;-1,98;-1,15;-0,54;-0,11;0,16;0,31;0,37;0,37;0,34;0,29;0,23;0,17;0,12;0,07;0,04;0,02;0,00;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;0,00;0,00;0,00;0,00;-10,15;-15,38;-17,10;-16,53;-14,60;-12,03;-9,32;-6,78;-4,58;-2,80;-1,45;-0,49;0,15;0,52;0,70;0,74;0,70;0,60;0,49;0,37;0,26;0,17;0,10;0,05;0,01;-0,01;-0,03;-0,03;-0,03;-0,03;0,00;1,92;2,90;3,23;3,12;2,76;2,27;1,76;1,28;0,87;0,53;0,27;0,09;-0,03;-0,10;-0,13;-0,14;-0,13;-0,11;-0,09;-0,07;-0,05;-0,03;-0,02;-0,01;0,00;0,00;0,00;0,01;0,01;0,01;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;7;388,07;0,00;0,00;60,71;0,00;0,00;0,00;41,19;-84,14;93,68;0,00;8,81;-18,01;3,23;0,00;0,00;0,00;0,50;8,81;6,68;4,74;3,10;1,81;0,85;0,18;-0,25;-0,48;-0,58;-0,58;-0,53;-0,45;-0,35;-0,26;-0,18;-0,12;-0,07;-0,03;0,00;0,01;0,02;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,00;0,00;-18,01;-13,64;-9,68;-6,34;-3,69;-1,73;-0,37;0,50;0,98;1,18;1,19;1,08;0,92;0,73;0,54;0,38;0,24;0,13;0,06;0,00;-0,03;-0,05;-0,05;-0,05;-0,05;-0,04;-0,03;-0,02;-0,01;-0,01;0,00;0,00;-32,53;-49,29;-54,82;-52,97;-46,80;-38,58;-29,88;-21,73;-14,68;-8,99;-4,65;-1,56;0,47;1,67;2,24;2,37;2,23;1,93;1,56;1,19;0,85;0,56;0,33;0,16;0,04;-0,04;-0,08;-0,10;-0,10;-0,09;0,00;-15,93;-24,13;-26,84;-25,93;-22,91;-18,88;-14,63;-10,64;-7,19;-4,40;-2,28;-0,77;0,23;0,82;1,10;1,16;1,09;0,94;0,77;0,58;0,42;0,27;0,16;0,08;0,02;-0,02;-0,04;-0,05;-0,05;-0,05;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;8;426,97;0,00;0,00;84,75;0,00;0,00;0,00;61,96;-115,18;130,78;0,00;13,26;-24,65;3,55;0,00;0,00;0,00;0,50;13,26;10,04;7,13;4,66;2,72;1,27;0,27;-0,37;-0,72;-0,87;-0,88;-0,80;-0,67;-0,53;-0,40;-0,28;-0,18;-0,10;-0,04;0,00;0,02;0,03;0,04;0,04;0,03;0,03;0,02;0,02;0,01;0,01;0,00;-24,65;-18,67;-13,25;-8,67;-5,06;-2,37;-0,50;0,69;1,35;1,62;1,63;1,48;1,25;0,99;0,74;0,51;0,33;0,18;0,08;0,00;-0,04;-0,06;-0,07;-0,07;-0,06;-0,05;-0,04;-0,03;-0,02;-0,01;-0,01;0,00;-44,53;-67,47;-75,04;-72,51;-64,06;-52,80;-40,90;-29,74;-20,10;-12,30;-6,37;-2,14;0,64;2,28;3,06;3,25;3,05;2,64;2,14;1,63;1,16;0,77;0,45;0,22;0,05;-0,05;-0,11;-0,14;-0,14;-0,13;0,00;-23,95;-36,29;-40,36;-39,01;-34,46;-28,40;-22,00;-16,00;-10,81;-6,62;-3,43;-1,15;0,35;1,23;1,65;1,75;1,64;1,42;1,15;0,88;0,63;0,41;0,24;0,12;0,03;-0,03;-0,06;-0,07;-0,07;-0,07;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;9;57,59;0,00;0,00;118,28;0,00;0,00;0,00;87,42;-160,24;182,54;0,00;18,71;-34,29;0,48;0,00;0,00;0,00;0,50;18,71;14,17;10,05;6,58;3,84;1,80;0,38;-0,52;-1,02;-1,23;-1,24;-1,13;-0,95;-0,75;-0,56;-0,39;-0,25;-0,14;-0,06;0,00;0,03;0,05;0,05;0,05;0,05;0,04;0,03;0,02;0,02;0,01;0,00;-34,29;-25,98;-18,43;-12,07;-7,03;-3,29;-0,70;0,96;1,87;2,25;2,27;2,07;1,74;1,38;1,03;0,71;0,46;0,25;0,11;0,01;-0,06;-0,09;-0,10;-0,10;-0,09;-0,07;-0,06;-0,04;-0,03;-0,02;-0,01;0,00;-61,96;-93,87;-104,40;-100,88;-89,13;-73,46;-56,91;-41,38;-27,96;-17,11;-8,86;-2,98;0,89;3,17;4,26;4,52;4,25;3,67;2,98;2,27;1,62;1,07;0,63;0,30;0,07;-0,07;-0,15;-0,19;-0,19;-0,18;0,00;-33,80;-51,21;-56,95;-55,04;-48,62;-40,08;-31,04;-22,58;-15,26;-9,34;-4,83;-1,63;0,49;1,73;2,32;2,46;2,32;2,00;1,62;1,24;0,88;0,58;0,34;0,17;0,04;-0,04;-0,08;-0,10;-0,11;-0,10;
1;270,00;11,05;-5,05;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;10;625,17;0,00;0,00;43,81;0,00;0,00;0,00;26,50;-62,20;67,61;0,00;5,67;-13,31;5,20;0,00;0,00;0,00;0,50;5,67;4,30;3,05;2,00;1,16;0,54;0,12;-0,16;-0,31;-0,37;-0,38;-0,34;-0,29;-0,23;-0,17;-0,12;-0,08;-0,04;-0,02;0,00;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;0,00;-13,31;-10,08;-7,15;-4,68;-2,73;-1,28;-0,27;0,37;0,73;0,87;0,88;0,80;0,68;0,54;0,40;0,28;0,18;0,10;0,04;0,00;-0,02;-0,03;-0,04;-0,04;-0,03;-0,03;-0,02;-0,02;-0,01;-0,01;0,00;0,00;-24,05;-36,44;-40,52;-39,16;-34,60;-28,52;-22,09;-16,06;-10,85;-6,64;-3,44;-1,16;0,35;1,23;1,65;1,75;1,65;1,43;1,16;0,88;0,63;0,41;0,24;0,12;0,03;-0,03;-0,06;-0,07;-0,08;-0,07;0,00;-10,25;-15,53;-17,27;-16,69;-14,74;-12,15;-9,41;-6,84;-4,63;-2,83;-1,47;-0,49;0,15;0,52;0,70;0,75;0,70;0,61;0,49;0,37;0,27;0,18;0,10;0,05;0,01;-0,01;-0,03;-0,03;-0,03;-0,03;
